Name,GB%,FB%,Hard%,Med%,Pull%,K%,BB%,wOBA
Guillermo Heredia,43.8,33.7,27.7,49.6,41.8,16.9,8.6,0.271
Brian McCann,28.1,49.6,27.9,50.8,43.4,19.7,7.5,0.271
Aaron Altherr,49.6,33.6,35.9,42.0,38.9,32.7,13.3,0.271
Jonathan Lucroy,41.9,33.5,36.8,46.3,34.0,14.2,7.1,0.27
Dustin Fowler,39.7,40.4,40.4,41.8,37.6,22.4,3.6,0.27
Bradley Zimmer,48.3,27.6,43.6,43.6,24.2,38.6,6.1,0.27
Jefry Marte,51.4,29.7,25.2,58.6,51.4,20.1,4.7,0.27
JaCoby Jones,42.6,35.2,34.5,47.2,43.0,29.8,5.1,0.269
Jay Bruce,31.3,45.4,32.5,51.5,42.9,20.3,10.2,0.269
Chris Young,28.6,51.9,26.9,34.6,59.0,28.9,8.6,0.268
Hunter Dozier,43.3,36.6,42.1,42.1,39.6,30.9,7.2,0.268
Jose Reyes,45.0,36.3,25.9,45.7,43.2,14.6,9.0,0.267
Rajai Davis,46.3,30.6,29.0,41.3,29.0,21.5,4.7,0.267
Delino DeShields,49.3,31.5,27.3,53.7,31.2,21.6,11.2,0.265
Sean Rodriguez,33.0,48.9,25.8,47.2,47.2,34.1,12.9,0.264
Noel Cuevas,45.5,34.8,23.5,46.1,40.0,15.3,4.2,0.263
Cheslor Cuthbert,48.1,40.7,30.9,51.9,40.7,19.7,9.4,0.263
Martin Prado,47.8,27.7,30.2,56.6,34.0,16.6,5.4,0.262
James McCann,40.4,38.4,38.1,45.5,34.6,23.6,6.0,0.262
Scott Kingery,36.2,39.5,26.1,51.1,40.4,25.2,5.2,0.261
Dexter Fowler,42.2,39.4,33.9,46.3,43.1,22.5,11.4,0.26
Ryan Flaherty,62.3,16.7,22.2,60.7,38.5,22.1,9.3,0.26
Caleb Joseph,42.3,37.6,23.8,62.9,38.4,25.2,4.1,0.259
Rosell Herrera,56.3,23.1,37.9,40.4,37.3,21.3,5.4,0.259
Carlos Asuaje,40.0,39.3,35.4,44.9,42.2,20.0,11.2,0.258
Blake Swihart,39.4,38.3,28.7,52.1,37.2,25.7,7.1,0.258
Kelby Tomlinson,58.6,16.1,25.8,52.7,26.9,23.1,6.0,0.257
Mikie Mahtook,41.5,38.3,27.4,52.6,43.2,26.7,8.7,0.256
Sandy Leon,41.1,41.1,28.8,49.1,44.8,25.0,5.8,0.255
Jeff Mathis,42.3,34.6,37.4,47.7,46.7,27.1,10.0,0.255
Johnny Field,40.3,38.7,34.2,43.1,39.0,32.5,3.6,0.254
Ryan Rua,45.7,37.0,37.4,45.8,43.4,33.3,3.8,0.253
Luis Valbuena,36.1,44.0,37.5,46.4,45.2,34.7,6.6,0.253
Drew Robinson,40.0,27.5,42.9,45.2,57.1,47.6,12.4,0.249
Tony Wolters,56.0,30.2,23.9,57.3,35.0,17.1,11.2,0.249
Kevin Kiermaier,51.1,30.9,29.3,42.5,33.7,25.6,7.3,0.246
Alcides Escobar,45.2,34.4,31.3,48.7,40.9,14.4,5.5,0.246
Ryan Goins,44.6,28.9,27.6,51.7,33.3,24.2,3.3,0.246
Abraham Almonte,51.0,35.4,38.0,49.0,36.0,23.8,9.9,0.244
Jarrod Dyson,46.3,31.3,22.7,56.3,39.8,14.3,11.4,0.244
Dixon Machado,43.0,32.0,32.0,52.0,43.4,17.6,6.0,0.244
Lewis Brinson,52.6,31.1,39.9,41.4,43.9,30.2,4.5,0.244
Chris Owings,41.0,37.6,38.9,43.9,36.1,25.3,8.1,0.242
Anthony Santander,39.2,40.5,31.3,48.8,48.8,19.4,5.6,0.242
Christian Vazquez,42.5,36.8,26.9,55.4,33.1,15.1,3.2,0.242
Drew Butera,31.7,48.1,29.0,46.7,31.8,22.8,8.2,0.241
Chris Davis,40.4,41.3,36.2,50.0,41.4,36.7,8.1,0.241
Hunter Pence,50.8,27.9,27.9,44.3,34.4,24.9,4.6,0.238
Raffy Lopez,29.5,49.2,36.1,50.8,39.3,36.8,11.1,0.236
Orlando Arcia,58.0,25.5,27.0,47.1,30.2,26.6,4.4,0.233
Ronny Rodriguez,50.0,31.7,28.2,48.2,40.0,22.2,5.1,0.233
Bobby Wilson,47.0,38.0,27.5,41.2,50.0,24.5,7.9,0.232
Yadiel Rivera,59.8,23.0,37.9,44.8,32.2,29.5,12.1,0.231
Pedro Severino,40.6,38.3,22.8,55.2,50.7,22.7,8.4,0.225
Victor Reyes,47.5,24.6,34.7,44.9,33.1,20.1,2.4,0.223
Andrew Romine,45.1,31.0,14.5,57.9,34.2,30.0,5.8,0.221
Carlos Tocci,49.1,28.1,16.9,55.4,41.5,33.0,4.7,0.221
Bryan Holaday,41.1,36.4,22.2,58.3,40.7,16.9,5.6,0.221
J.B. Shuck,54.2,27.1,24.8,47.7,33.9,15.5,7.0,0.219
Roberto Perez,53.0,33.7,43.5,42.4,33.7,36.1,8.9,0.215
Francisco Pena,57.7,25.6,26.9,46.2,42.3,28.2,4.3,0.215
Jesus Sucre,41.5,38.1,33.3,47.5,25.8,15.2,5.3,0.212
Pat Valaika,39.5,43.2,17.7,61.2,41.2,24.2,7.3,0.204
Eric Sogard,36.5,36.5,34.2,51.3,36.8,20.4,10.6,0.194
Trayce Thompson,38.0,46.8,22.5,55.0,47.5,36.5,5.1,0.162
